Experience (Years),Education,Recruiter Decision,Salary Expectation ($),Projects Count,Score (0-100),Role_AI Researcher,Role_Cybersecurity Analyst,Role_Data Scientist,Role_Software Engineer,Cert_AWS Certified,Cert_Deep Learning Specialization,Cert_Google ML,Cert_None,C++,Cybersecurity,Deep Learning,Ethical Hacking,Java,Linux,Machine Learning,NLP,Networking,Python,Pytorch,React,SQL,TensorFlow
1.0,1,1,0.8119925829407639,0.8,100,True,False,False,False,False,False,False,True,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1.0,4,1,0.9135636965019547,0.1,100,False,False,True,False,False,False,True,False,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.1,4,1,0.3969254284855167,0.7000000000000001,70,False,True,False,False,False,True,False,False,0,1,0,1,0,1,0,0,0,0,0,0,0,0
0.7000000000000001,2,1,0.08473238448431397,0.0,95,True,False,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0.4,5,1,0.5933146236343592,0.9,100,False,False,False,True,False,False,False,True,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1.0,2,1,0.09862684173599279,0.5,100,False,True,False,False,False,False,True,False,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0.4,3,1,0.3272902676155157,0.9,100,False,True,False,False,True,False,False,False,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0.30000000000000004,3,1,0.7883256489926833,0.7000000000000001,90,True,False,False,False,True,False,False,False,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0.7000000000000001,4,1,0.6538162774381078,0.30000000000000004,100,False,True,False,False,False,True,False,False,0,0,0,1,0,0,0,0,1,0,0,0,0,0
0.0,3,0,0.2567655607898166,0.1,35,True,False,False,False,True,False,False,False,0,0,0,0,0,0,0,1,0,1,1,0,0,1
0.1,5,1,0.612157963315626,0.7000000000000001,70,False,False,False,True,False,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,4,0,0.2834394106444823,0.5,50,False,True,False,False,False,False,True,False,0,1,0,1,0,0,0,0,1,0,0,0,0,0
0.0,3,1,0.024957402024656794,0.9,65,False,True,False,False,False,True,False,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0
0.4,1,1,0.1293600280645485,1.0,100,False,False,False,True,False,True,False,False,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.0,3,0,0.7075022551869301,0.5,45,True,False,False,False,False,True,False,False,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.1,5,0,0.14161321038388297,0.6000000000000001,60,False,True,False,False,False,False,True,False,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1.0,5,1,0.9431567605492635,0.2,100,False,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.30000000000000004,2,1,0.3294326951989577,0.6000000000000001,80,False,True,False,False,False,False,False,True,0,1,0,1,0,1,0,0,1,0,0,0,0,0
0.30000000000000004,4,1,0.9065099729377568,1.0,95,False,False,True,False,False,False,False,True,0,0,1,0,0,0,0,0,0,1,0,0,1,0
1.0,2,1,0.1639019745414454,0.9,100,False,False,True,False,False,True,False,False,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0.5,1,1,0.2187656610203469,0.4,90,False,False,False,True,False,False,False,True,1,0,0,0,1,0,0,0,0,0,0,1,1,0
0.6000000000000001,1,1,0.8302470682569911,1.0,100,True,False,False,False,False,False,True,False,0,0,0,0,0,0,0,1,0,1,1,0,0,1
0.4,4,1,0.8389295379372557,0.8,100,False,False,True,False,True,False,False,False,0,0,1,0,0,0,1,0,0,0,0,0,1,0
0.8,4,1,0.6803021950486119,0.0,100,True,False,False,False,False,True,False,False,0,0,0,0,0,0,0,1,0,1,1,0,0,1
0.0,2,1,0.6387065250075175,1.0,80,True,False,False,False,False,True,False,False,0,0,0,0,0,0,0,1,0,1,1,0,0,1
0.7000000000000001,2,1,0.3553422872606996,1.0,100,True,False,False,False,False,True,False,False,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.30000000000000004,1,0,0.45251578630850964,0.2,60,False,True,False,False,False,True,False,False,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0.1,3,0,0.020622431592663193,0.5,45,True,False,False,False,False,False,False,True,0,0,0,0,0,0,0,1,0,0,1,0,0,0
1.0,2,1,0.9925578831312019,0.2,100,True,False,False,False,False,False,True,False,0,0,0,0,0,0,0,1,0,1,1,0,0,0
1.0,2,1,0.24858424376064958,0.4,100,False,False,True,False,True,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.4,5,1,0.558710033076075,1.0,100,False,False,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,1,0,0,1,0
0.1,1,1,0.2320462062744313,1.0,75,False,True,False,False,False,False,False,True,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0.8,3,1,0.140297684674752,0.4,100,False,False,True,False,True,False,False,False,0,0,1,0,0,0,1,0,0,1,0,0,1,0
0.9,1,1,0.7446627242658115,0.4,100,True,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,1,1,0,0,1
0.0,3,1,0.08664929337476202,1.0,75,False,True,False,False,False,True,False,False,0,0,0,1,0,1,0,0,1,0,0,0,0,0
0.7000000000000001,5,1,0.651736493936053,0.6000000000000001,100,True,False,False,False,True,False,False,False,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0.7000000000000001,3,1,0.5118146737496241,0.30000000000000004,100,True,False,False,False,False,False,True,False,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0.5,2,1,0.7194046306504962,0.7000000000000001,100,False,False,False,True,False,False,True,False,1,0,0,0,1,0,0,0,0,0,0,0,1,0
0.7000000000000001,5,1,0.8317129397614513,0.0,80,False,True,False,False,False,False,False,True,0,1,0,0,0,1,0,0,0,0,0,0,0,0
0.1,4,1,0.15384133507066255,0.8,70,False,False,True,False,True,False,False,False,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1.0,4,1,0.7645459556981058,0.9,100,False,False,False,True,True,False,False,False,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1,3,1,0.13925779292372464,1.0,80,False,True,False,False,True,False,False,False,0,0,0,0,0,1,0,0,1,0,0,0,0,0
0.30000000000000004,3,1,0.32973338678961617,1.0,95,True,False,False,False,False,False,False,True,0,0,0,0,0,0,0,1,0,1,0,0,0,1
0.1,4,1,0.1291971534529418,0.8,70,False,False,True,False,False,True,False,False,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.4,3,1,0.6941089505863487,0.6000000000000001,95,False,False,True,False,True,False,False,False,0,0,0,0,0,0,1,0,0,1,0,0,1,0
0.5,1,1,0.4093289566001804,0.4,90,False,False,False,True,True,False,False,False,0,0,0,0,1,0,0,0,0,0,0,0,1,0
0.4,4,1,0.1317655607898166,0.9,100,False,False,False,True,True,False,False,False,1,0,0,0,1,0,0,0,0,0,0,1,1,0
0.8,5,1,0.7942267214593566,0.9,100,False,False,True,False,False,False,True,False,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.1,4,1,0.07958304099428692,0.9,80,False,False,False,True,False,True,False,False,0,0,0,0,1,0,0,0,0,0,0,1,1,0
0.5,2,1,0.6170817881126591,0.1,75,True,False,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0.5,5,1,0.06769319434699816,0.9,100,True,False,False,False,False,False,False,True,0,0,0,0,0,0,0,1,0,1,1,0,0,1
